ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
PA23,PA23 160,O-320-B2B,2,DA42,,P,O-320-E2A
PA27,PA23 250E,IO-540-C4B5,2,PA27,,P,IO-540-T4A5D
PA30,PA30 160B,IO-320-B1A,2,PA34,,P,IO-320-DIAD
PA31,PA31 350,TIO-540-J2BD,2,PA31,,P,TIO-540-J2B2
PA34,PA34 220T IV,TSIO-360-KB,2,PA34,,P,TSIO-360C
PA44,PA44 180,O-360-E1A6D,2,PA44,,P,O-360-A3A
PA46,PA 46 350P,T10-540-AE2A,1,PA46,,P,TIO-540-J2B2
PAY1,PA31T I,PT6A-11,2,PAY1,,T,PT6A-11
PAY2,PA31T II,PT6A-28,2,PAY2,,T,PT6A-28
PAY3,PA42 720 III,PT6A-41,2,PAY3,,T,PT6A-41
PAY4,PA42 1000 400LS,TPE331-14-801A/B,2,P180,,T,TPE331-14B
PC12,PC12 47E,PT6A-67B,1,PC12,,T,PT6A-67B
PC24,PC24,FJ44-4A,2,C560,,J,1AS001
PC6T,PC6 B2 H4,PT6A-27,1,C208,,T,PT6A-27
PC7,PC7,PT6A-25A,1,C208,,T,PT6A-25C
PC9,PC9B,PT6A-62,1,TEX2,,T,PT6A-62
PRM1,RA 390,FJ44-2A,2,PRM1,,J,1AS001
R135,VC 135B,UNKNOWN,4,DC87,,J,1CM001
RJ1H,BAE146 RJ100,LF507-1F,4,RJ1H,,J,1TL004
RJ70,BAE146 RJ70 ER,LF507-1F,4,RJ85,,J,1TL004
RJ85,BAE146 RJ85,LF507-1F,4,RJ85,,J,1TL004
S2P,CONAIR FIRECAT CS2F 1,R-982-C9HE2,2,S2P,,P,Prop>500hp
S2T,CONAIR TURBO FIRECAT S2,PT6A-67AF,2,SH36,,T,PT6A-67AF
S601,SN601 CORVETTE,JT15D-4,2,C550,,J,1PW036
SB20,SAAB 2000,GMA2100A,2,SB20,,T,AE2100A on Saab 2000
SBR1,SABRE 65,TFE731-3R-1D,2,SBR1,,J,1AS002
SBR2,SABRE 75A,CF700-2D2,2,SBR1,,J,CF700-2D
SC7,SC7 SKYVAN 3 200,TPE331-2-201A,2,L410,,T,TPE331-2
SF34,SAAB 340B,CT7-9B,2,SF34,,T,CT7-9B
SF50,SF50,FJ33,1,SF50,,J,1AS001
